City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Champerico,GT,2022-07-20 14:11:24,14.3,-91.9167,82.94,79,100,3.98,overcast clouds
1,Silvania,BR,2022-07-20 14:11:24,-16.6589,-48.6081,76.23,37,11,11.65,few clouds
2,Chuy,UY,2022-07-20 14:11:25,-33.6971,-53.4616,56.08,80,0,10.13,clear sky
3,Tasiilaq,GL,2022-07-20 14:11:25,65.6145,-37.6368,41.16,82,92,4.32,overcast clouds
4,Ponta Do Sol,PT,2022-07-20 14:11:25,32.6667,-17.1,83.71,65,0,2.98,clear sky
5,Saskylakh,RU,2022-07-20 14:11:26,71.9167,114.0833,46.29,64,99,15.05,overcast clouds
6,Vaini,TO,2022-07-20 14:11:26,-21.2,-175.2,74.25,78,16,19.93,few clouds
7,Luderitz,NA,2022-07-20 14:11:27,-26.6481,15.1594,65.12,51,0,22.55,clear sky
8,Aswan,EG,2022-07-20 14:07:18,24.0934,32.907,107.91,9,2,14.0,clear sky
9,Rikitea,PF,2022-07-20 14:09:11,-23.1203,-134.9692,72.91,76,6,2.21,clear sky
10,Carnarvon,AU,2022-07-20 14:05:59,-24.8667,113.6333,71.13,71,0,15.12,clear sky
11,Saldanha,ZA,2022-07-20 14:07:26,-33.0117,17.9442,56.84,61,0,14.67,clear sky
12,Kununurra,AU,2022-07-20 14:11:29,-15.7667,128.7333,64.38,68,17,0.0,few clouds
13,Ushuaia,AR,2022-07-20 14:03:18,-54.8,-68.3,35.26,93,100,31.07,drizzle
14,Dingle,PH,2022-07-20 14:11:29,10.9995,122.6711,78.53,87,83,3.22,broken clouds
15,Arman,RU,2022-07-20 14:11:30,59.7,150.1667,53.55,94,5,5.95,clear sky
16,Lebu,CL,2022-07-20 14:03:04,-37.6167,-73.65,51.58,97,100,10.78,overcast clouds
17,Vostok,RU,2022-07-20 14:11:30,46.4856,135.8833,61.43,96,90,3.18,overcast clouds
18,Bredasdorp,ZA,2022-07-20 14:07:20,-34.5322,20.0403,58.21,56,44,4.43,scattered clouds
19,Beloha,MG,2022-07-20 14:08:04,-25.1667,45.05,76.35,28,0,7.05,clear sky
20,Lorengau,PG,2022-07-20 14:11:31,-2.0226,147.2712,81.97,77,71,7.31,broken clouds
21,Yellowknife,CA,2022-07-20 14:06:25,62.456,-114.3525,59.56,82,100,17.0,overcast clouds
22,Ust-Kuyga,RU,2022-07-20 14:11:32,70.0167,135.6,43.14,75,19,6.98,few clouds
23,Avarua,CK,2022-07-20 14:00:10,-21.2078,-159.775,73.45,73,75,12.66,broken clouds
24,Hobart,AU,2022-07-20 14:07:13,-42.8794,147.3294,38.05,90,20,5.75,few clouds
25,Hasaki,JP,2022-07-20 14:06:50,35.7333,140.8333,77.4,80,100,6.06,overcast clouds
26,Mataura,NZ,2022-07-20 14:04:39,-46.1927,168.8643,41.49,98,14,0.92,few clouds
27,Jamestown,US,2022-07-20 14:05:53,42.097,-79.2353,82.94,73,0,11.5,clear sky
28,Jalu,LY,2022-07-20 14:11:34,29.0331,21.5482,95.05,13,0,14.65,clear sky
29,Sikeston,US,2022-07-20 14:11:34,36.8767,-89.5879,85.24,79,0,13.8,clear sky
30,Inhambane,MZ,2022-07-20 14:11:35,-23.865,35.3833,74.44,62,0,9.78,clear sky
31,Hithadhoo,MV,2022-07-20 14:11:35,-0.6,73.0833,81.1,70,100,1.23,moderate rain
32,Bereda,ES,2022-07-20 14:11:36,43.2686,-7.5406,77.92,43,0,7.36,clear sky
33,Tonantins,BR,2022-07-20 14:11:36,-2.8731,-67.8022,75.24,94,100,3.27,overcast clouds
34,Laguna,US,2022-07-20 14:04:19,38.421,-121.4238,72.64,66,0,5.75,clear sky
35,Radom,PL,2022-07-20 14:11:37,51.4025,21.1471,88.12,34,0,9.22,clear sky
36,Ostersund,SE,2022-07-20 14:11:37,63.1792,14.6357,75.65,57,20,11.5,few clouds
37,Puerto Ayora,EC,2022-07-20 14:05:57,-0.7393,-90.3518,71.56,99,95,8.01,overcast clouds
38,Tateyama,JP,2022-07-20 14:11:38,34.9833,139.8667,77.09,82,100,9.57,overcast clouds
39,La Ronge,CA,2022-07-20 14:06:04,55.1001,-105.2842,59.67,67,8,13.67,clear sky
40,Camacha,PT,2022-07-20 14:11:39,33.0833,-16.3333,72.82,64,40,14.97,scattered clouds
41,Senador Jose Porfirio,BR,2022-07-20 14:11:39,-2.5908,-51.9542,83.95,63,24,2.04,few clouds
42,Chute-Aux-Outardes,CA,2022-07-20 14:11:40,49.1168,-68.399,67.59,57,1,13.27,clear sky
43,Makakilo City,US,2022-07-20 14:11:40,21.3469,-158.0858,75.52,75,20,11.5,few clouds
44,Baglung,NP,2022-07-20 14:11:41,28.2719,83.5898,71.11,94,100,1.97,overcast clouds
45,Cidreira,BR,2022-07-20 14:11:41,-30.1811,-50.2056,63.14,79,0,12.44,clear sky
46,Henties Bay,NA,2022-07-20 14:12:42,-22.116,14.2845,59.02,74,0,16.42,clear sky
47,Tochio,JP,2022-07-20 14:12:42,37.4667,139.0,72.55,91,98,3.98,overcast clouds
48,Namatanai,PG,2022-07-20 14:12:43,-3.6667,152.4333,78.8,81,99,7.23,overcast clouds
49,Kaitangata,NZ,2022-07-20 14:12:43,-46.2817,169.8464,40.91,82,73,4.36,broken clouds
50,Katsuura,JP,2022-07-20 14:12:44,35.1333,140.3,78.1,83,99,4.23,overcast clouds
51,Rawson,AR,2022-07-20 14:12:44,-43.3002,-65.1023,53.51,59,99,16.35,overcast clouds
52,Lyubytino,RU,2022-07-20 14:12:45,58.8122,33.3922,56.26,97,100,13.02,light rain
53,Shingu,JP,2022-07-20 14:12:45,33.7333,135.9833,75.24,78,95,6.26,overcast clouds
54,Kalabo,ZM,2022-07-20 14:12:46,-14.97,22.6814,83.88,18,3,1.81,clear sky
55,Fuyu,CN,2022-07-20 14:12:47,45.1833,124.8167,75.58,72,100,3.87,overcast clouds
56,Yeppoon,AU,2022-07-20 14:12:47,-23.1333,150.7333,62.38,81,100,16.64,overcast clouds
57,Albany,US,2022-07-20 14:03:25,42.6001,-73.9662,85.17,71,8,1.01,clear sky
58,Cape Town,ZA,2022-07-20 14:12:48,-33.9258,18.4232,61.11,51,0,1.99,clear sky
59,Abu Kamal,SY,2022-07-20 14:12:49,34.4506,40.9171,108.93,10,0,14.61,clear sky
60,Chokurdakh,RU,2022-07-20 14:05:54,70.6333,147.9167,39.27,79,60,8.97,broken clouds
61,Ola,RU,2022-07-20 14:09:07,59.5833,151.2833,51.96,95,18,1.3,few clouds
62,Busselton,AU,2022-07-20 14:00:35,-33.65,115.3333,64.2,80,100,13.89,overcast clouds
63,Dikson,RU,2022-07-20 14:07:18,73.5069,80.5464,45.77,62,0,22.21,clear sky
64,Deputatskiy,RU,2022-07-20 14:12:50,69.3,139.9,30.88,98,71,2.8,broken clouds
65,Damghan,IR,2022-07-20 14:12:50,36.1683,54.348,92.16,25,0,7.78,clear sky
66,East London,ZA,2022-07-20 14:12:51,-33.0153,27.9116,63.16,69,93,4.09,overcast clouds
67,Altay,CN,2022-07-20 14:12:51,47.8667,88.1167,63.55,43,29,8.25,scattered clouds
68,Mahebourg,MU,2022-07-20 14:06:00,-20.4081,57.7,71.26,59,51,23.82,broken clouds
69,Albion,US,2022-07-20 14:12:52,42.2431,-84.753,80.78,79,100,9.22,overcast clouds
70,Narsaq,GL,2022-07-20 14:07:19,60.9167,-46.05,53.82,89,99,3.96,overcast clouds
71,Bluff,NZ,2022-07-20 14:04:44,-46.6,168.3333,41.81,71,76,5.35,broken clouds
72,Chunoyar,RU,2022-07-20 14:12:53,57.4467,97.3217,58.24,93,100,4.09,overcast clouds
73,Sao Joao Da Barra,BR,2022-07-20 14:08:53,-21.6403,-41.0511,75.29,74,56,2.82,broken clouds
74,Tezu,IN,2022-07-20 14:12:54,27.9167,96.1667,76.8,97,99,2.89,overcast clouds
75,Morant Bay,JM,2022-07-20 14:12:54,17.8815,-76.4093,86.7,70,2,11.05,clear sky
76,Richards Bay,ZA,2022-07-20 14:12:08,-28.783,32.0377,70.79,72,55,13.31,broken clouds
77,Kapaa,US,2022-07-20 14:05:55,22.0752,-159.319,77.32,85,40,12.66,scattered clouds
78,Provideniya,RU,2022-07-20 14:12:19,64.3833,-173.3,40.46,94,93,14.47,overcast clouds
79,Hay River,CA,2022-07-20 14:12:55,60.8156,-115.7999,54.5,83,100,14.47,overcast clouds
80,Lompoc,US,2022-07-20 14:12:56,34.6391,-120.4579,55.54,98,100,1.01,mist
81,Ixtapa,MX,2022-07-20 14:12:56,20.7,-105.2,83.23,94,75,4.61,broken clouds
82,Oriximina,BR,2022-07-20 14:12:57,-1.7656,-55.8661,87.28,55,45,4.32,scattered clouds
83,Norman Wells,CA,2022-07-20 14:12:57,65.282,-126.8329,59.04,67,99,3.0,overcast clouds
84,Sao Filipe,CV,2022-07-20 14:07:17,14.8961,-24.4956,77.83,83,86,2.75,overcast clouds
85,Zdvinsk,RU,2022-07-20 14:12:58,54.7021,78.661,68.67,61,100,3.67,overcast clouds
86,Ossora,RU,2022-07-20 14:12:59,59.2353,163.0719,57.24,81,99,2.35,overcast clouds
87,Saint-Philippe,RE,2022-07-20 14:06:08,-21.3585,55.7679,71.22,69,35,17.98,scattered clouds
88,Waddan,LY,2022-07-20 14:12:59,29.1614,16.139,94.69,20,0,9.66,clear sky
89,Kaeo,NZ,2022-07-20 14:13:00,-35.1,173.7833,43.32,93,51,8.25,broken clouds
90,Saint-Francois,FR,2022-07-20 14:13:00,46.4154,3.9054,80.04,57,75,11.5,broken clouds
91,Komsomolskiy,UZ,2022-07-20 14:14:01,40.4272,71.7189,99.32,12,0,2.3,clear sky
92,New Norfolk,AU,2022-07-20 14:14:01,-42.7826,147.0587,37.71,86,2,2.39,clear sky
93,Asau,RO,2022-07-20 14:14:01,46.4333,26.4,87.28,39,100,5.57,overcast clouds
94,Esperance,AU,2022-07-20 14:14:02,-33.8667,121.9,59.86,61,100,15.68,overcast clouds
95,Maunabo,PR,2022-07-20 14:14:03,18.0072,-65.8993,88.47,80,51,13.0,broken clouds
96,Savannah Bight,HN,2022-07-20 14:14:03,16.45,-85.85,82.27,74,77,14.5,broken clouds
97,Ucluelet,CA,2022-07-20 14:14:04,48.9329,-125.5528,55.09,93,53,4.68,broken clouds
98,Atuona,PF,2022-07-20 14:04:12,-9.8,-139.0333,76.64,79,30,12.91,scattered clouds
99,Sibolga,ID,2022-07-20 14:14:05,1.7427,98.7792,77.38,87,29,1.72,scattered clouds
100,Kisaran,ID,2022-07-20 14:14:05,2.9845,99.6158,75.92,96,99,0.76,overcast clouds
101,Severo-Kurilsk,RU,2022-07-20 14:14:06,50.6789,156.125,50.72,98,99,14.88,light rain
102,Faanui,PF,2022-07-20 14:06:05,-16.4833,-151.75,77.29,65,0,6.64,clear sky
103,Ribeira Grande,PT,2022-07-20 14:14:07,38.5167,-28.7,77.4,73,20,9.22,few clouds
104,Pevek,RU,2022-07-20 14:07:26,69.7008,170.3133,31.82,92,100,13.15,overcast clouds
105,Turukhansk,RU,2022-07-20 14:14:07,65.8167,87.9833,52.25,91,100,7.56,overcast clouds
106,Upernavik,GL,2022-07-20 14:06:02,72.7868,-56.1549,47.23,72,53,4.76,broken clouds
107,Bengkulu,ID,2022-07-20 14:04:42,-3.8004,102.2655,78.48,85,89,2.46,overcast clouds
108,Punta Arenas,CL,2022-07-20 14:04:34,-53.15,-70.9167,37.42,86,75,28.77,light rain
109,Gamba,GA,2022-07-20 14:14:08,-2.65,10.0,75.67,76,71,8.21,broken clouds
110,Maua,BR,2022-07-20 14:12:20,-23.6678,-46.4614,69.37,77,100,5.57,overcast clouds
111,Butaritari,KI,2022-07-20 14:14:09,3.0707,172.7902,80.92,82,100,11.65,moderate rain
112,Port Alfred,ZA,2022-07-20 14:04:48,-33.5906,26.891,59.18,94,100,3.33,overcast clouds
113,Hualmay,PE,2022-07-20 14:14:10,-11.0964,-77.6139,62.83,78,65,5.97,broken clouds
114,Hermanus,ZA,2022-07-20 14:01:23,-34.4187,19.2345,59.81,61,3,7.25,clear sky
115,Medea,DZ,2022-07-20 14:14:11,36.2642,2.7539,94.78,17,0,11.9,clear sky
116,Zabol,AF,2022-07-20 14:14:11,32.25,67.25,92.35,12,0,19.82,clear sky
117,Batemans Bay,AU,2022-07-20 14:14:12,-35.7167,150.1833,52.11,83,92,2.89,overcast clouds
118,Port Hardy,CA,2022-07-20 14:14:12,50.6996,-127.4199,53.8,93,28,5.84,scattered clouds
119,Tuktoyaktuk,CA,2022-07-20 14:04:45,69.4541,-133.0374,49.73,80,100,7.29,overcast clouds
120,Santiago Del Estero,AR,2022-07-20 14:14:13,-27.7951,-64.2615,62.85,47,52,10.11,broken clouds
121,Chinna Salem,IN,2022-07-20 14:14:13,11.65,78.9,89.44,55,97,3.29,overcast clouds
122,Mana,GF,2022-07-20 14:14:14,5.6592,-53.7767,83.55,69,14,7.43,few clouds
123,Guia De Isora,ES,2022-07-20 14:14:14,28.2115,-16.7795,81.1,35,6,2.71,clear sky
124,Souillac,MU,2022-07-20 14:14:15,-20.5167,57.5167,69.62,60,21,22.21,few clouds
125,Xining,CN,2022-07-20 14:10:24,36.6167,101.7667,58.55,65,66,3.94,broken clouds
126,Lata,PT,2022-07-20 14:14:15,40.1629,-8.3327,85.08,19,0,9.08,clear sky
127,Shubarshi,KZ,2022-07-20 14:14:16,48.5872,57.1869,82.53,25,97,8.3,overcast clouds
128,Muros,ES,2022-07-20 14:14:16,42.7762,-9.0603,87.15,52,0,14.63,clear sky
129,Arroio Dos Ratos,BR,2022-07-20 14:14:17,-30.0772,-51.7292,63.07,73,0,3.49,clear sky
130,Nikolskoye,RU,2022-07-20 14:04:46,59.7035,30.7861,70.88,52,100,12.19,overcast clouds
131,Ayan,RU,2022-07-20 14:14:18,56.45,138.1667,57.15,97,100,3.09,overcast clouds
132,Qaanaaq,GL,2022-07-20 14:14:18,77.484,-69.3632,41.05,80,100,3.74,overcast clouds
133,Lawton,US,2022-07-20 14:14:19,34.6087,-98.3903,93.11,33,0,4.61,clear sky
134,Mar Del Plata,AR,2022-07-20 14:10:38,-38.0023,-57.5575,54.09,80,0,13.0,clear sky
135,Chapais,CA,2022-07-20 14:04:51,49.7834,-74.8492,64.27,50,100,3.31,overcast clouds
136,San Policarpo,PH,2022-07-20 14:14:21,12.1791,125.5072,82.8,81,99,7.52,overcast clouds
137,Fairbanks,US,2022-07-20 14:15:21,64.8378,-147.7164,50.31,92,75,0.0,broken clouds
138,Patiya,BD,2022-07-20 14:15:22,22.2931,91.9762,84.15,84,75,5.75,broken clouds
139,Tromso,NO,2022-07-20 14:15:22,69.6496,18.957,62.62,63,20,10.36,few clouds
140,Hilo,US,2022-07-20 14:15:22,19.7297,-155.09,72.28,81,100,4.61,overcast clouds
141,Coihaique,CL,2022-07-20 14:15:23,-45.5752,-72.0662,36.21,93,75,2.3,light snow
142,Zyryanka,RU,2022-07-20 14:15:23,65.75,150.85,44.74,69,100,10.31,overcast clouds
143,Jamiltepec,MX,2022-07-20 14:15:24,16.2833,-97.8167,75.27,75,28,2.48,scattered clouds
144,Kodiak,US,2022-07-20 14:15:25,57.79,-152.4072,47.71,87,0,4.61,clear sky
145,Balabac,PH,2022-07-20 14:15:25,7.9868,117.0645,81.99,77,12,6.49,few clouds
146,Vardo,NO,2022-07-20 14:15:26,70.3705,31.1107,53.58,100,100,8.05,overcast clouds
147,Erenhot,CN,2022-07-20 14:15:26,43.6475,111.9767,84.11,25,90,6.24,overcast clouds
148,Sosnovka,RU,2022-07-20 14:15:27,56.255,51.2842,65.46,75,19,5.08,light rain
149,Okhotsk,RU,2022-07-20 14:15:27,59.3833,143.3,56.73,94,82,5.75,broken clouds
150,San Cristobal,VE,2022-07-20 14:01:30,7.7669,-72.225,74.64,69,46,7.05,scattered clouds
151,Great Yarmouth,GB,2022-07-20 14:15:28,52.6083,1.7305,86.95,45,93,18.39,overcast clouds
152,Boende,CD,2022-07-20 14:15:28,-0.2167,20.8667,86.59,51,80,3.6,broken clouds
153,Baoro,CF,2022-07-20 14:15:29,5.6667,15.9667,75.88,77,98,4.25,light rain
154,Bohodukhiv,UA,2022-07-20 14:15:29,50.1647,35.5276,73.13,54,88,13.56,overcast clouds
155,Moyo,UG,2022-07-20 14:15:30,3.6609,31.7247,79.14,55,71,2.3,broken clouds
156,Maridi,SS,2022-07-20 14:15:30,4.9158,29.4742,80.78,57,31,5.66,light rain
157,Isangel,VU,2022-07-20 14:15:31,-19.55,169.2667,76.05,91,100,7.09,overcast clouds
158,Guerrero Negro,MX,2022-07-20 14:15:31,27.9769,-114.0611,70.9,70,80,4.85,broken clouds
159,Yei,SS,2022-07-20 14:15:32,4.095,30.6779,78.89,65,44,3.71,light rain
160,Westport,US,2022-07-20 14:05:47,41.1415,-73.3579,90.18,70,0,8.05,clear sky
161,Dzilam Gonzalez,MX,2022-07-20 14:15:32,21.2833,-88.9333,83.71,67,8,5.5,clear sky
162,Port Blair,IN,2022-07-20 14:15:33,11.6667,92.75,78.39,85,100,17.16,overcast clouds
163,San Angelo,US,2022-07-20 14:14:03,31.4638,-100.437,86.95,59,0,14.97,clear sky
164,Caravelas,BR,2022-07-20 14:15:35,-17.7125,-39.2481,76.3,71,63,6.58,broken clouds
165,Itarema,BR,2022-07-20 14:15:29,-2.9248,-39.9167,86.18,53,33,10.85,scattered clouds
166,Cochabamba,BO,2022-07-20 14:15:35,-17.3895,-66.1568,64.2,29,79,1.01,broken clouds
167,Kavieng,PG,2022-07-20 14:15:36,-2.5744,150.7967,81.72,78,100,11.12,overcast clouds
168,Lagoa,PT,2022-07-20 14:06:05,39.05,-27.9833,71.82,80,4,7.0,clear sky
169,Sambava,MG,2022-07-20 14:15:37,-14.2667,50.1667,70.97,83,38,16.13,light rain
170,Araxa,BR,2022-07-20 14:14:24,-19.5933,-46.9406,75.47,34,2,8.86,clear sky
171,Araouane,ML,2022-07-20 14:15:38,18.9048,-3.5265,93.99,36,99,13.85,overcast clouds
172,Ilulissat,GL,2022-07-20 14:15:38,69.2167,-51.1,53.62,54,75,3.44,broken clouds
173,Luancheng,CN,2022-07-20 14:15:39,37.8792,114.6517,75.36,78,0,10.16,clear sky
174,Sabha,LY,2022-07-20 14:15:39,27.0377,14.4283,96.04,14,9,12.15,clear sky
175,Cayenne,GF,2022-07-20 14:15:18,4.9333,-52.3333,86.04,66,40,6.91,scattered clouds
176,Pangody,RU,2022-07-20 14:15:40,65.85,74.4859,64.44,42,38,15.77,scattered clouds
177,Letka,RU,2022-07-20 14:15:40,59.6011,49.4232,62.29,81,97,3.58,light rain
178,Miri,MY,2022-07-20 14:15:41,4.4148,114.0089,80.74,94,40,3.44,scattered clouds
179,Zlatibor,RS,2022-07-20 14:15:41,43.7168,19.7,80.62,26,0,7.49,clear sky
180,Bubaque,GW,2022-07-20 14:06:05,11.2833,-15.8333,77.34,88,100,15.68,moderate rain
181,New Ulm,US,2022-07-20 14:15:42,44.3125,-94.4605,75.56,68,0,20.71,clear sky
182,Longyearbyen,SJ,2022-07-20 14:16:43,78.2186,15.6401,51.64,82,75,14.97,broken clouds
183,Mount Gambier,AU,2022-07-20 14:16:43,-37.8333,140.7667,40.15,90,0,5.48,clear sky
184,Saint-Dizier,FR,2022-07-20 14:16:43,48.4167,5.0833,76.6,49,83,12.08,broken clouds
185,Torbay,CA,2022-07-20 14:16:44,47.6666,-52.7314,70.57,80,75,28.77,broken clouds
186,Udachnyy,RU,2022-07-20 14:16:45,66.4167,112.4,55.45,66,84,8.77,broken clouds
187,Rocha,UY,2022-07-20 14:16:45,-34.4833,-54.3333,54.79,73,2,11.83,clear sky
188,Ranong,TH,2022-07-20 14:16:46,9.9658,98.6348,76.95,96,100,13.6,light rain
189,Obama,JP,2022-07-20 14:16:46,35.4958,135.746,79.95,82,97,2.86,overcast clouds
190,Iqaluit,CA,2022-07-20 14:16:47,63.7506,-68.5145,42.53,100,75,5.75,fog
191,Perpignan,FR,2022-07-20 14:15:39,42.75,2.75,92.82,36,0,10.36,clear sky
192,Maksatikha,RU,2022-07-20 14:16:48,57.797,35.8825,54.91,97,95,12.06,moderate rain
193,Airai,TL,2022-07-20 14:16:48,-8.9266,125.4092,59.36,93,82,3.11,broken clouds
194,Half Moon Bay,US,2022-07-20 14:16:49,37.4636,-122.4286,60.89,90,100,6.91,mist
195,Huron,US,2022-07-20 14:16:49,41.1501,-82.5499,82.18,77,77,14.41,broken clouds
196,Los Llanos De Aridane,ES,2022-07-20 14:16:50,28.6585,-17.9182,74.95,69,20,17.27,few clouds
197,Tiksi,RU,2022-07-20 14:16:50,71.6872,128.8694,34.75,96,99,10.8,overcast clouds
198,Beringovskiy,RU,2022-07-20 14:16:50,63.05,179.3167,47.35,75,95,19.26,overcast clouds
199,Thinadhoo,MV,2022-07-20 14:16:51,0.5333,72.9333,80.62,75,100,5.68,overcast clouds
200,Tizimin,MX,2022-07-20 14:16:51,21.15,-88.15,85.44,65,7,6.42,clear sky
201,Hambantota,LK,2022-07-20 14:16:52,6.1241,81.1185,80.04,83,100,20.11,overcast clouds
202,North Bend,US,2022-07-20 14:15:39,43.4065,-124.2243,57.92,98,100,5.75,overcast clouds
203,Itoman,JP,2022-07-20 14:16:53,26.1247,127.6694,84.22,94,39,8.05,scattered clouds
204,Kasungu,MW,2022-07-20 14:16:53,-13.0333,33.4833,70.95,43,99,7.7,overcast clouds
205,Orocue,CO,2022-07-20 14:16:53,4.7912,-71.3354,75.83,89,97,6.38,overcast clouds
206,Aksarka,RU,2022-07-20 14:16:54,66.5606,67.7975,66.83,46,61,11.92,broken clouds
207,Imeni Babushkina,RU,2022-07-20 14:16:54,59.7573,43.1285,54.34,98,100,9.86,moderate rain
208,Horsham,GB,2022-07-20 14:16:55,51.064,-0.3272,80.82,57,40,12.66,scattered clouds
209,Castro,BR,2022-07-20 14:16:56,-24.7911,-50.0119,61.09,87,97,5.55,overcast clouds
210,Pisco,PE,2022-07-20 14:14:48,-13.7,-76.2167,59.05,88,100,5.75,mist
211,Georgetown,MY,2022-07-20 14:15:30,5.4112,100.3354,84.13,81,20,3.44,few clouds
212,Russell,US,2022-07-20 14:16:56,32.3502,-85.1999,82.96,69,64,6.26,broken clouds
213,Serebryanyy Bor,RU,2022-07-20 14:16:57,56.8,124.8,59.0,92,35,3.33,scattered clouds
214,Te Horo,NZ,2022-07-20 14:16:57,-40.8084,175.1233,47.8,93,100,8.01,moderate rain
215,Arraial Do Cabo,BR,2022-07-20 14:16:58,-22.9661,-42.0278,75.16,83,75,11.5,broken clouds
216,Puerto Quijarro,BO,2022-07-20 14:16:58,-17.7833,-57.7667,87.64,22,26,4.05,scattered clouds
217,Twentynine Palms,US,2022-07-20 14:16:59,34.1356,-116.0542,89.24,28,100,1.01,overcast clouds
218,Mogadishu,SO,2022-07-20 14:15:16,2.0371,45.3438,76.93,76,75,19.93,broken clouds
219,Kavaratti,IN,2022-07-20 14:17:00,10.5669,72.642,81.1,82,100,20.33,light rain
220,Vysokogornyy,RU,2022-07-20 14:17:00,50.1167,139.15,58.66,98,100,3.31,overcast clouds
221,Klaksvik,FO,2022-07-20 14:17:00,62.2266,-6.589,54.52,91,67,5.12,broken clouds
222,Ponta Delgada,PT,2022-07-20 14:12:34,37.7333,-25.6667,74.12,83,75,8.05,broken clouds
223,Cockburn Town,TC,2022-07-20 14:17:01,21.4612,-71.1419,81.55,77,0,19.15,clear sky
224,Mayumba,GA,2022-07-20 14:17:02,-3.432,10.6554,73.33,84,74,6.78,broken clouds
225,Praia,CV,2022-07-20 14:17:02,14.9215,-23.5087,84.74,70,20,10.36,few clouds
226,Maple Creek,CA,2022-07-20 14:17:03,49.9168,-109.4848,62.65,77,33,8.05,scattered clouds
227,Baiquan,CN,2022-07-20 14:17:03,47.5833,126.0833,70.3,81,35,4.79,scattered clouds
228,Aranos,NA,2022-07-20 14:18:04,-24.1333,19.1167,72.61,17,0,6.42,clear sky
229,Te Anau,NZ,2022-07-20 14:18:04,-45.4167,167.7167,39.94,96,93,3.96,overcast clouds
